,virus name,species,genus,family,Host plasticity No of species,Host plasticity No of species Impact,Host plasticity No of orders,Host plasticity No of orders Impact,Geography of the host,Geography of the host Impact,Number of primary high risk disease transmission interfaces where the virus has been detected,Number of primary high risk disease transmission interfaces where the virus has been detected Impact,Frequency of interaction between domestic animals and humans in the host ecosystem,Frequency of interaction between domestic animals and humans in the host ecosystem Impact,Intimacy of interaction between domestic animals and humans in the host ecosystem,Intimacy of interaction between domestic animals and humans in the host ecosystem Impact,Frequency of interaction between wild animals and humans in the host ecosystem,Frequency of interaction between wild animals and humans in the host ecosystem Impact,Intimacy of interaction between wild animals and humans in the host ecosystem,Intimacy of interaction between wild animals and humans in the host ecosystem Impact,Genetic relatedness between the host species and humans,Genetic relatedness between the host species and humans Impact,Land use in host ecosystem,Land use in host ecosystem Impact,Livestock density in host ecosystem,Livestock density in host ecosystem Impact,Human population density in host ecosystem,Human population density in host ecosystem Impact,Deforestation in host ecosystem,Deforestation in host ecosystem Impact,Urbanization in host ecosystem,Urbanization in host ecosystem Impact,Agricultural system change in host ecosystem,Agricultural system change in host ecosystem Impact,Genome classification of the virus,Genome classification of the virus Impact,Envelope status of the virus,Envelope status of the virus Impact,Viral genome segmentation,Viral genome segmentation Impact,Virus species infectivity in humans,Virus species infectivity in humans Impact,Virus species infectivity in terrestrial mammals excluding humans,Virus species infectivity in terrestrial mammals excluding humans Impact,Proportion of virus species known to infect humans in the viral family,Proportion of virus species known to infect humans in the viral family Impact,Proportion of virus species known to infect terrestrial mammals excluding humans in the viral family,Proportion of virus species known to infect terrestrial mammals excluding humans in the viral family Impact,Proportion of viruses within a viral family that are known to infect more than 1 host species,Proportion of viruses within a viral family that are known to infect more than 1 host species Impact,Epidemicity of the virus species,Epidemicity of the virus species Impact,Geography of the virus in animals,Geography of the virus in animals Impact,Pandemic virus,Pandemic virus Impact,Proportion of known human pathogens in the viral family,Proportion of known human pathogens in the viral family Impact,Transmission mode of the virus,Transmission mode of the virus Impact,Animal to human transmission,Animal to human transmission Impact,Human to human transmission,Human to human transmission Impact,Duration of virus species infection in humans,Duration of virus species infection in humans Impact,Risk Score
27,SIN NOMBRE VIRUS,Sin Nombre hantavirus,Hantavirus,Bunyaviridae,MEDIUM-HIGH,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,HIGH,MEDIUM,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,MEDIUM,MEDIUM,LOW,HIGH,MEDIUM,HIGH,LOW-MEDIUM,HIGH,HIGH,HIGH,LOW,HIGH,MEDIUM,MEDIUM,73
28,ROTAVIRUS A,Rotavirus A,Rotavirus,Reoviridae,LOW,HIGH,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,HIGH,MEDIUM-HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,MEDIUM,HIGH,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,70
29,AUSTRALIAN BAT LYSSAVIRUS,Australian bat lyssavirus,Lyssavirus,Rhabdoviridae,MEDIUM,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW-MEDIUM,MEDIUM,LOW,HIGH,MEDIUM,HIGH,LOW,HIGH,HIGH,HIGH,LOW,HIGH,MEDIUM,MEDIUM,72
30,EIDOLON BAT CORONAVIRUS/KENYA/KY24/2006,Eidolon bat coronavirus/Kenya/KY24/2006,Betacoronavirus,Coronaviridae,HIGH,HIGH,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,MEDIUM,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,75
31,HUMAN MASTADENOVIRUS G,Human mastadenovirus G,Mastadenovirus,Adenoviridae,LOW-MEDIUM,HIGH,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,HIGH,MEDIUM-HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,MEDIUM-HIGH,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,LOW-MEDIUM,HIGH,LOW,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,73
32,DOBRAVA-BELGRADE VIRUS,Dobrava-Belgrade hantavirus,Hantavirus,Bunyaviridae,MEDIUM-HIGH,HIGH,LOW-MEDIUM,HIGH,HIGH,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,HIGH,MEDIUM,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,MEDIUM,MEDIUM,LOW,HIGH,MEDIUM,HIGH,LOW-MEDIUM,HIGH,HIGH,HIGH,LOW,HIGH,MEDIUM,MEDIUM,71
33,MACAQUE FOAMY VIRUS,Macaque simian foamy virus,Spumavirus,Retroviridae,MEDIUM-HIGH,HIGH,LOW,HIGH,HIGH,HIGH,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,HIGH,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,MEDIUM,MEDIUM,75
34,RODENT CORONAVIRUS,Rodent coronavirus,Alphacoronavirus,Coronaviridae,HIGH,HIGH,LOW,HIGH,HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,MEDIUM,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,74
35,CORONAVIRUS PREDICT COV-24,Coronavirus PREDICT CoV-24,Betacoronavirus,Coronaviridae,MEDIUM,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,MEDIUM-HIGH,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,75
36,CORONAVIRUS HKU1,Human coronavirus HKU1,Betacoronavirus,Coronaviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,MEDIUM,MEDIUM,72
37,BTVS-BETACOV/SC2013,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,LOW-MEDIUM,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM-HIGH,HIGH,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,MEDIUM,MEDIUM,72
38,SARS-RELATED BAT CORONAVIRUS RSSHC014,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,LOW-MEDIUM,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,MEDIUM,MEDIUM,71
39,RESTON VIRUS,Reston ebolavirus,Ebolavirus,Filoviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW-MEDIUM,HIGH,HIGH,HIGH,LOW,HIGH,MEDIUM,MEDIUM,73
40,KENYA BAT CORONAVIRUS/BTKY56/BTKY55,Kenya bat coronavirus/BtKY56/BtKY55,Betacoronavirus,Coronaviridae,HIGH,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW-MEDIUM,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,MEDIUM,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,72
41,BOMBALI VIRUS,Bombali ebolavirus,Ebolavirus,Filoviridae,LOW-MEDIUM,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,MEDIUM,MEDIUM,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW-MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,72
42,CORONAVIRUS PREDICT COV-22,Coronavirus PREDICT CoV-22,Betacoronavirus,Coronaviridae,MEDIUM,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,MEDIUM-HIGH,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,73
43,MAMASTROVIRUS 1,Mamastrovirus 1,Mamastrovirus,Astroviridae,LOW-MEDIUM,HIGH,LOW-MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,HIGH,MEDIUM-HIGH,MEDIUM,LOW,MEDIUM,HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,MEDIUM-HIGH,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,71
44,HUMAN MASTADENOVIRUS F,Human mastadenovirus F,Mastadenovirus,Adenoviridae,LOW-MEDIUM,HIGH,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,MEDIUM-HIGH,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,LOW-MEDIUM,HIGH,LOW,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,70
45,PARAMYXOVIRUS PREDICT PMV-10,Paramyxovirus PREDICT PMV-10,Unassigned,Paramyxoviridae,MEDIUM,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,MEDIUM,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,72
46,BAT CORONAVIRUS HIPPOSIDEROS/GHANAKWAM/20/2008,Bat coronavirus Hipposideros/GhanaKwam/20/2008,Betacoronavirus,Coronaviridae,MEDIUM,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW-MEDIUM,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,MEDIUM,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,71
47,BEILONG VIRUS,Beilong jeilongvirus,Jeilongvirus,Paramyxoviridae,LOW-MEDIUM,HIGH,LOW,HIGH,HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,MEDIUM,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,70
48,BAT CORONAVIRUS 1,Bat coronavirus 1,Alphacoronavirus,Coronaviridae,MEDIUM-HIGH,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,MEDIUM-HIGH,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,72
49,PARAMYXOVIRUS PREDICT PMV-13,Paramyxovirus PREDICT PMV-13,Unassigned,Paramyxoviridae,MEDIUM,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,MEDIUM-HIGH,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,71
50,SCOTOPHILUS BAT CORONAVIRUS 512,Scotophilus bat coronavirus 512,Alphacoronavirus,Coronaviridae,MEDIUM,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,MEDIUM,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,71
51,PARAMYXOVIRUS PREDICT PMV-15,Paramyxovirus PREDICT PMV-15,Unassigned,Paramyxoviridae,MEDIUM,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,MEDIUM,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,71
52,MAMASTROVIRUS 6,Mamastrovirus 6,Mamastrovirus,Astroviridae,LOW-MEDIUM,HIGH,LOW,HIGH,HIGH,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM-HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,MEDIUM-HIGH,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,MEDIUM,MEDIUM,70
53,JUNIN VIRUS,Junin mammarenavirus,Mammarenavirus,Arenaviridae,LOW-MEDIUM,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,HIGH,MEDIUM,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,LOW,HIGH,HIGH,HIGH,LOW,HIGH,MEDIUM,MEDIUM,66
54,CORONAVIRUS PREDICT COV-16,Coronavirus PREDICT CoV-16,Betacoronavirus,Coronaviridae,MEDIUM,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,MEDIUM,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,71
55,CORONAVIRUS PREDICT COV-68,Coronavirus PREDICT CoV-68,Betacoronavirus,Coronaviridae,MEDIUM,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,MEDIUM,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,71
56,RHINOLOPHUS BAT CORONAVIRUS HKU2,Rhinolophus bat coronavirus HKU2,Alphacoronavirus,Coronaviridae,MEDIUM-HIGH,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,MEDIUM-HIGH,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,71
